x,y
0.0075472,0.15319
0.01186,0.2383
0.022642,1.1745
0.036119,0.62979
0.037197,1.1915
0.039892,1.4298
0.042049,0.35745
0.049057,1.583
0.059838,2.383
0.069003,3.3532
0.069542,2.6894
0.07655,2.7234
0.080323,3.4043
0.088949,4.3745
0.089488,1.5489
0.093801,3.0468
0.10566,3.7277
0.11321,3.7787
0.14717,5.634
0.1531,6.2128
0.16334,6.4511
0.17736,4.9021
0.18221,6.4511
0.18922,7.183
0.19892,7.2851
0.20916,8
0.21563,7.8298
0.2221,7.183
0.2221,7.8809
0.22857,7.3191
0.23342,8.817
0.2469,9.1915
0.25013,9.1745
0.30674,9.7021
0.30674,9.7191
